title,artist,spotify_id,lyrics,bpm,energy,danceability,loudness,valence,rhyme_density,rhyme_density_old
Magic Hands,B-Free,3qulFTGqqB8OqXQDa5yJb4,"내 인생은 영화 이건 나의 대본
양아치 사장에게 빼앗겼지 음악과 내 돈
괜찮아, 나는?다시?또?만들어내
전쟁 같은 인생,?내 말은 마치?어뢰
나는 늘 내 자신과 언쟁을 하며
질문을 던지고 또 답을 얻네
대체 나는 언제부터 이렇게 삐뚤어졌을까
애기 때 담벼락 넘다가 땅바닥에 얼굴을 부딪혔어
얼굴에 붕대 감고 다녔더니 애들이 나를 보며 불렀었지
""Terminator"", ""Frankenstein""
학교에서 가장 좋아했던 미술 시간
어렸을 때 내 첫 꿈은 바로 만화가
근데 다한증 땜에 내 손에서는 하루 종일 땀이 나 온 종이가 젖었지
그때 내 첫 꿈은 접었지만 가사는 계속 해서 적었지
내 손이 움직이면 새 앨범이 생겨
죽고 싶었을 때 음악은 내게 줬지 새 생명
그래서 나는 음악의 신에게 했어 맹세
매일마다 드릴게요 예배
아주 어렸을 때 나는 넘어갔었지 미국
거기서 나는 될 뻔 했어 동네북
그래서 나는 항상 내 자신을 보호했어
방에서 혼자 연습했지 jab, jab, left hook과 uppercut
그 이후로는 아무도 날 못 건드렸지
근데 현피 보다 더 무서운 건 현실
만만하게 봤다가 깨져봤지 큰 코
돈이 없어도 내 머릿속은 마치 금고
Hukky beat는 내 금고를 터는 도둑
서울역을 갔는데 갑자기 드는 질문
'왜 대부분의 노숙자들은 남자일까?’
그 사람들은 모르나 봐",163.977,0.85,0.483,-6.805,0.543,0.3885,0.3679
DEATH VALLEY,B-Free,3uXqCdjSpIIP6DnO43DPF1,"난 서 있어 수많은 시체 위에
내 과거: 너네의 미래
마지막으로 말할게 (Yeah)
듣는 게 좋을 거야, 좋게 말할 때
너는 길 잘못 들어왔어, 일방통행이야
나는 절대 못 물러서, 양보 못해
잘 먹고 잘 살아, 장수해, ay
미안해, 나는 말이 안 통해, ay
As I walk through the valley of the shadow of death (I don't give a fuck)
Imma keep doin' me till my last breath (I don't give a fuck)
너는 후회할 거야 죽을 때 (I don't give a fuck)
준비가 돼 있어야 해 내가 부를 때 (I don't give a fuck)
넌 기도만 해, 여긴 수련회 아니야 (Ay, yeah, yeah, yeah)
창 밖처럼 내 생각들이 어둡네, 맞아 (Yeah, yeah, yeah)
그런 음악들이 너의 마음에 불을 때 (Yeah, yеah, yeah)
순진한 척하는 모습이 귀엽네 (Yeah, yeah, yеah)",152.79,0.959,0.194,-3.989,0.262,0.5964,0.4097
Relax,B-Free,0k6GGZP9T9ZboA0VLDBBMQ,"다들 내게 보고 말해, ""제발 좀 진정해""
다들 내게 보고 말해, ""저 새끼는 미쳤네""
Okay, 나도 문제가 있다는 것을 인정해
근데 걱정하지 마라, 나는 결국 이겨내
사실 나는 존나게 겁쟁이인 것만 같애
내 마음을 다스리려 하지만 잘 안 돼
근데 사람들이 나보고 rap을 잘한대
그래서 난 또 이렇게 rap을 할 수 밖에
지금 내가 해야 하는 것들은 수만개
나는 항상 솔직하게 말했지 순진하게
근데 이제 보이는 게 없어 내 눈 앞에
이제 B-Free도 슬슬 이미지 관리 해야 할 때
그래서 나는 요즘 말하지 부드럽게
사장님이 내 음악을 들었대
그래서 나는 조금 쪽 팔리네
어쨌든 내 음악은 계속 팔리네
나는 성격이 존나 급해
그래서 기차 탈 때도 무조건 급행
차가 막히면 울화통이 터져
내 앞을 막지 말고 빨리 꺼져
아줌마 제발 좀 더 빨리 가
내 친구가 말해, ""너랑 대화하면 기가 존나 빨린다""
어쩌라고, 임마, 그건 내가 알 바 아니야
달리다 보니 여기는 어린이 보호 구역이야
저기 보니까 저기는 노약자 보호 구역이야
나 같은 새끼 보호 하는 구역은 대체 어디야?
나 같은 새끼들도 있지 권리가
좁은 골목 피해서 나는 조금 더 멀리 가
계속 돌고 돌다 보니 여기는 대체 어디야?
이름만 다른 아파트들, 다 거기서 거기야
이 도시에는 돈이 없으면 넌 먹이야
돈 생각 하다 보니 존나 멀미나",60.837,0.999,0.188,-18.9,1e-05,0.7735,0.7554
Feel It (feat. Keith Ape),B-Free,35TUu6kV8XZeeS4KP2hGlg,"내 가사는 내가 사는 삶에서 나오는 시
마치 칼에 찔리면 나오면 피 같이
다 눈, 코, 입, 피부색도 가지각색이지만
우리 속은 모두 다 똑같지
우리는 다른 언어와 문화의 차이를 다 뛰어넘어
절대 중요하지 않아, 너나 나의 나이
너도 이걸 느낀다면 그냥 끄덕여봐, 너의 고개
우린 모두 음악으로 통해
음악을 통해 우주 전체에 알려, 내 존재
제 3의 눈을 통해 다음 단계로 인도해
심적으로 떠나는 여행, 기분은 몽롱해
나와 내 닌자들은 차원 속으로 이동해
내 소리들의 입자는 퍼져
멀리 뻗어 나가 사람들 귀 속까지 번져
두뇌에 전염, 우린 점점 움직임이 커져
New Seoul, 식상함에서 서울을 건져
너도 느껴봐, 내 음악의 품격
신선한 beat, rhyme들로 너의 뇌를 집중 공격
Tokyo에서부터 New Seoul
우린 어딜 가든 모든 무대를 다 부셔
내 의지와 고집은 막기 힘들어, 마치 고질라
아무리 신선해도 사람들은 결국엔 질려
거짓말 밖에 찾기 힘든 텔레비전 안엔
사람들은 어디 가고 개들이 막 짖어
걔들의 입을 다 찢어
개소리는 귀에서 다 지워. 나는 계속 위로
근데 사실 어디로 가는지 나도 몰라
삶은 중력이 끌고 나가는 미로
내가 원하는 건 탈출, 갑부
내 재능을 돈으로 바꾸는 마술
너는 빠꾸를 맞고선 한숨
나는 안 바꿔도 나오는 박수
너는 웃겨. 내 음악에 불평
촌놈들끼리 짧은 지식으로 분석하지만
내 가사는 세련됨을 품어
나는 깎아내릴수록 더 커지는 구멍. 나를 주목
그래, 우릴 주목해
우린 월화수목금토일 상관없이 매일 일해
Hi-Lite, 말 그대로 눈부시는 미래
새로운 시대를 열어. 쓸어 담어, 지폐
지폐가 지구 전체를 지배
나도 지배 당하지 않기 위해서 필요한 건 지혜
실패하면 우린 모두 영혼 없는 기계
좋은 음악과 지식들을 모두에게 인계",155.023,0.941,0.459,-2.053,0.399,0.4618,0.4739
On Fire (feat. Cokejazz),B-Free,34jFNdPg2z5Wn3uhMVlWBH,"이 노래의 느낌 마치 69년 New York에서 열린 Woodstock
나의 출신, 하와이 to 서울 city. 천재 Cokejazz, 바로 울산
지구 정반대에 자란 두 남자들이 만나서 만든 new sound
And new style and a new rhyme. Step back, 내 열정은 불 타
환각제를 먹은 다음 하늘 바라보며
꿈을 꾸는 젊은 Steve Jobs처럼
나의 상상력과 꿈은 너가 가진 돈보다 더 비싸
사람들이 가끔 내가 가는 길을 피사의 사탑처럼 삐딱하게
바라보겠지만 다이아몬드, 금도 없이 내 인생은 빛나
My life is so bright, 형광. 나의 하나님께 모든 영광
내가 전과가 있다 나를 절대 쉽게 판단, 평가하지 마
사기꾼보다 훨씬 사기꾼 같은 양아치 기획사 사장
깡패보다 깡패같은 검찰, 판사, 정치인들 모두 좆까
내가 추구하는 것은 변화, 혼란 속에 찾는 작는 평화
너무 오래된 생각의 전환. 나의 실수 통해 나는 성장
나의 모든 경험, 나의 영감. 나의 삶이 영화라면 명작
나는 전설에 남을 전사. 너도 지금 너가 가진 불을 켜봐
나는 생각하지. 대체 정상적인 삶이란 것은 뭘까?
돈과 권력을 가진 소수들이 마음대로 정하는 게 정답
너무 많은 사람들이 행복보단 오직 물질적인 수익, 성과
위해 하루종일 일해. 망가지는 몸과 마음, 정신적인 건강
내가 자신감 있으면 건방지고 개성이 넘치면 왕따
되는 사회 피해 TV 안을 쳐다보니 점점 둔해지는 감각
다시 TV 끄고 작업하다 보니 벌써 해가 뜨고있는 창밖
나의 꿈과 가까워지는 것만 같지만 계속 밀리는 방값
어떤 방법, 수단 가리지 않으며 열심히 뛰었지, 투잡
이젠 부자는 아니지만 몸에 금을 달고 다녀, 마치 훈장
하이라이트, 어딜 가도 우리 같은 미친 새끼들은 절대 못 봐
우릴 막어, 감히 누가? Yeah, we on fire, yeah, we on fire",94.857,0.825,0.759,-4.289,0.429,0.4441,0.3673
Intro,B-Free,27FbxcWWZrPdbwLqASmpWi,"난 힘이 필요할 땐 기도하지, 하나님이 날 위로하지
더 나은 인간이 되려고 노력은 하지만 아직은 부족하지
하지만 쉽게 포기는 못해, 실패를 해도 난 시도하지
옆에 있는 내 친구들, 가족들이 날 항상 응원하니
So I do it for y'all, 가끔은 겁이 나고 또 두려워도
절대 고개는 안 숙여, 기준의 잣대를 모두 다 부러트려
베를린 장벽처럼 내 앞의 장애물은 다 무너뜨려
가식 밖에 없는 그 radio, TV는 모두 다 갖다버려
매일마다 정신 없이 공부나 일하다 생긴 그 마음의 병
인터넷, TV 아닌 진정한 대화와 사랑이 치료해줘
불을 붙혀, 자연의 힘을 빌려, 두 눈을 감고 느껴
행복해지기 위해 꼭 필요한 열쇠는 바로 니 안에 있어
부모나 학교, 직장, 군대가 뺏어갔던 너의 자신감
되찾아봐, 늘 기죽어 살기에 인생은 너무나 짧으니까
우리에게 필요한 건 더 밝은 미래를 만드는 희망과 꿈
너가 가지고 있는 그 열쇠로 지금 꼭 열어봐, 성공의 문
우리는 이기지
성공 비결은 좋은 음악, no 이미지
너네는 입에다 기름칠하기 위해
또 노력 없이 찾겠지, 지름길
하지만 너네는 웃기지
Fuck the industry, 우리는 태도를 지키지
대기업들은 돈을 또 훔치지
문화 죽이지만 내 rap은 내 무기지, blah
난 절대로 쉽게 죽지는 않아
때로는 내 앞이 캄캄했지만
이제 내 미래는 너무나도 밝아
비싼 시계는 없지만 내 반지를 봐, 절대 변하지 않아
'빠르게' 보단 '바르게'
늘 열심히 하면서 나는 내 갈 길을 가
I'ma get better with time
너네는 계속 더 쉬면서 잠이나 자
One of a kind Seoul city hard hitter
Born winner Hi-Lite의 3번 타자
I'm on my grind, 마치 굶주린 사자처럼 내 이를 갈아
너네는 말이 많아
Shut the fuck up, 냄새나, 입을 닫아
뭐든지 할 거면 제대로 해
안 될 것 같아도 하면 다 돼
돈보다 귀한 건 열정과 꿈
If it was meant to be, it'll be soon",190.151,0.993,0.146,-3.506,0.502,0.517,0.4522
VIBE (feat. DUSTYY HAN),B-Free,1TkMsT69Yp2uSYps5PsM2e,"난 너가 잠에 들 때 깨어, 눈 뜨자마자 태워
난 필요하지 충전, 두 눈은 마치 충혈
좆밥?rapper들?불어, 왜 니네?가족 굶겨
전 여친 나타나서 왜 나를?다시 불러
내 style은 존나 죽여, 난 필요하지 부검
내 머리에는 두건, 니 손엔 하얀 수건
이 rapper들은 그림자, 기다려, 우리 소식만
안 먹어, 니네 도시락, 우리한테 다가오지 마
난 가려 먹어 반찬, 듣지 않아 판단
관심 없어 너의 사상, 그러다 넌 파산
따듯한 그녀 온기, 차가운 우리 공기
I jus pop a Oxy, 울렁거려 속이
지하실부터 고층 빌딩 호텔에서 조식
밤새도록 뱉어대서 내 입술은 헐지
폼 잡지 말고 모르겠음 내 걸 베껴
내 시험지는 100점, I kick it, 마치 Beckham
Kick in, 나는 느껴, 돈 버느라 난 늦어
넌 내 성격까지 베려, 난 너한텐 없어 매너
겁쟁이들 다 숨어, 난 좋은 거를 숨겨
난 계속해서 투여, 여긴 어딘가요 주여, yeah
제발 까진 척 좀 그만하고 가서 고래 잡아
내 수명과 내 시간을 난 내 음악들과 교환
나는 정말 자연재난, 너는 스쳐가는 바람
하늘이 두동강, 계획들이 산산조각 나고
거울 속에 내 모습은 너무나도 초라하지만
지금 내 기분은 정말 너무 좋아
뒤로 못 가, 갈 길 없어, 도로가 너무 좁아
쉽게 올라가는 방법: 다 짓밟고 위로 올라
비싼 척 좀 하지 말아, 죽는다 너 연락하면
나는 너를 괴롭히는 과거
죽을 듯이 간절해서 맨날 밤새 작업하고
부잣집의 아들 너를 가슴속에 묻은 다음에 털어 너의 관을
너는 뭘 해도 무관심, 근데 그건 내 탓 아님
이른 아침 양반다리 하고 명상, 마치 달심
Spit that fire, 너는 그런 나를 보면 속이 타지
Raging bull, 황소고집 너의 여친 올라타지
즐거운 퇴근 시간, 조심히들 들어가
지하철을 타고 가, 정말 편하고 빨라
좋은 노래 만들면 어깨에 힘이 들어가
너의 웃음 잃지 말고 속마음이 드러나",87.993,0.632,0.706,-7.172,0.625,0.4669,0.4719
BREAK (feat. KWON KI BAEK),B-Free,2RoyUO9hkh2SQfId9ir3MK,"전쟁 같은 인생 살아남고 싶어 죽도록 일해
실패는 없어, 실전처럼 날마다 훈련
수많은 시험과 문제
국제 통화니까 빨리 좀 말해
여보세요, 누구세요
돈 얘기 아냐, 예쁘지 않아, 한국 말 못해
협상을 원해? Talk to my 실장
지옥 맛 알아, 나는 미식가
요리사처럼 매일 칼 갈아
전투식량처럼 변하지 않아
나는 음악가, 너는 그냥 부상자 환자
약하지만 난 약하지 않아
모두 다 얼어, 빙판을 걷듯 trippin' slippin'
하나 더 꽂아, 전투력 증가
너무나 빨리 뛰는 내 심장
흐려진 판단
Ch Gas pack 들이마시고
다시 또 침착하게 앞으로 걸어가
까라면 까, 쏘라면 쏴
내가 싫어? Kiss my ass
Shit gets hairy, 마치 Chubbaka, ay
My life's like K-drama, bitch named karma
목마처럼 돌고 또 돌아
I'mma keep riding, 들어가 또 봐
Gassed up, 마치 화생방
바닥에 깔려진 은색 총알
마지막 한방 화학 무기처럼
장전한 다음 입으로 주입
침 흘려 질질
밤마다 달려도 텐션을 유지
군기가 빠진 썩은 뿌리
뽑아내 충치처럼
육지가 안 보여, underwater everywhere
상대하기가 무리인 무리
너가 가지고 있던 모든 환상
유리처럼 산산조각 낸 다음 두발 뻗고 잠시만 휴식
멈춤이 없는 내 인생
멈추고 싶음 멈춰야 해 심장, ay
휴식은 무덤에서나 해
원하면 완전히 토막을 내줄게, yeah
원하면 토막을 내줄게, yeah
난 휴식은 무덤에서나 해
멈춤이 없거든 나의 인생
좆까길 바라지, 시발 거 break
나의 형제 가족 위해 경계 태세는 평생 no break
종말, 종말, 끝까지 달리네
마침내 일어난 싸움은 사기꾼들이 다 망치네
감히 내 신경을 건드려
진정해라고 말하는 찌질이들
위선에 찌들어 야망 없이 살아 매일
나는 항상 아파
근데 그거 가지고 엄살 부리냐 시발
화장할 시간에 나는 총알 장전
충격을 받고서 이제야 나는 각성
옛날 고문 기구처럼 멈추면 나는 뒤져
능지처참 시키듯이 시발 반 죽여놔
소처럼 일하고 벌처럼 일하고
개미처럼 일해도 못해 절대 만족, ay",97.1,0.495,0.509,-8.139,0.357,0.3672,0.3351
Good Year,B-Free,2LYfBuA2fGPoknjLxEJUlV,"Happy new year, 이제 2014
일일이 한 명씩 모두에게 인사는 못해도
모두 새해 복 많이 받으시길
지난 과거의 실패는 모두 잊자
Hi-Lite Records, 바로 나의 직장
그동안 노력하며 흘린 나의 피땀이
이자까지 해서 돌아올 것 같아
Come and let's have a toast, 마치 이삭
주변에 넘치는 너무 좋은 사람들
같이 있으면 항상 좋은 기운 받아, 늘
부족한 나를 채워줘서 너무 감사해
부끄러워 이 노래를 통해서 말하네
나는 잊어, 가끔 내가 가진 많은 걸
나는 지금 하고 싶은 일을 하는 걸
나의 주변 사람들을 위해 기도해
올해 기대하며 한번 감사해 하기로 해
좋은 일들이 많았던 2013
일 년 동안 먹을 게 넘친 우리의 식탁
너도 어서 와서 채워, 너의 빈 잔
우리는 꿈이 현실이 돼, 긴잠은 들지 않아
나이는 계속 먹어도 영혼은 늙지 않아
아무리 힘이 든다 해도
나는 절대 카라처럼 탈퇴하지 않아
벌 돈도 너무 많고 하고 싶은 것도 너무 많아
신촌 긱에서부터 이젠 매진된 악스홀까지
웃통 벗고 돌아다녀, 마치 람보
우리에게 전달된 Hip-Hop의 바톤
반지하에서 now I'm headed to the top floor
나는 잊어, 가끔 내가 가진 많은 걸
나는 지금 하고 싶은 일을 하는 걸
나의 주변 사람들을 위해 기도해
작년 다시 돌아보며 감사해 하기로 해",135.673,0.446,0.291,-9.665,0.408,0.474,0.4515
Stand Up,Basick,60eZxEhkCO1c93v2cukVGd,"내가 원했던 건 열정을 버틸 몸이었지
아들과 내 여자가 내일에 대한 고민없이
난 철없던 놈이었지, uh, 아직도 난 포긴 없지
뭣도 아닌 내가 단 한가지 떳떳할 수 있는 건
펜을 움켜진 내 손이었지, uh
한땐 나도 수퍼루키에다
이 바닥 전체가 원했던 내 style
녹녹치 않던 세상에 부딪히고
책임을 위해서 들어간 회사
TV엔 옛동료들이 랩스타
난 그저 양복 입은 James Bond
But 날 움직이는 건
따박따박 찍히는 월급이 아닌 sweet bass line
지나간 20대의 끝, 희망이 매일뜨는 해의 뜻
내 시선은 강철도 베일 듯이
갈아논 채 더 멀리에 초점을 두네
청춘 네 두눈에 담아둬
알아둬 대부분의 사람들은 널 이해하지 못해
이룬뒤엔 널 지배하지 못해
불확실한 미래땜에 답답하고
이미 늦었다고 착각해
너의 꿈을 절대 놓지않고
고민한 맘가짐 만으로도 너는 창창해
상상해, 연기만 뿜던 입에서
새로운 다짐을 위해서
힘찬 함성을 질러 말했잖아
이제 우리 모두 우주 위로",100.009,0.96,0.57,-7.181,0.295,0.39,0.3463
Betterdays (Feat. Gummy),Basick,3xPBeKSzZD0aMALdGMwbP0,"정신 차리니 서른이 됐어, 술맛을 아는 어른이 됐어
날 닮은 아들 갖는 게 입버릇이 돼서
현실이 돼, 나의 힘, 밑거름이 됐어
엄마가 널 가졌을 때 회사를 때려치웠지
하고 싶은 거 하겠다고 내 자존심만 내세웠지
너와 엄마에겐 미안했지만
좀 더 자랑스러운 남편, 아빠가 되고 싶었어 혼자 되새겼지
옳은 선택이길 바라며 악으로 임했어
지금 이 무대에 섰지만 사람들은 손가락질 했어
눈물을 보이는 네 엄마와 아무것도 모르고 웃는 너를 보며
내 눈앞은 이미 희미했어
때타지 않은 네 두 눈에 비친 내 모습은 벌써 검은데
세상이 널 물들이지 못하게 할 수 있는 게
나는 아무것도 없는데
아빠, 물어보고 싶은 게 있어
대체 자식보다 예쁜 게 있어?
내가 태어날 때 보다 기쁜 게 있었는지
아빠가 되는 게 이런 건지
내가 커갈 때 어떤 생각을 했었는지
아빠를 따라 같은 직장 갖길 원했는지
광주이씨 무슨 파, 몇 대손, 장손
것보다 아빠 아들이면 됐지 아빠
채하는 몇 개월 만에 많은걸 줬는데
30년 동안 난 무엇을 드렸는지
보는 것만으로 배가 부르셨다면
세월 지나 몸무게는 대체 왜 줄으셨는지
잔잔한 당신 두 눈에 비친 내 모습은 파도만 치는데
세상에 지친 아빠한테 해줄 수 있는 게
아직 아무것도 없는데",147.09,0.758,0.633,-11.604,0.616,0.5319,0.5256
I'm The Man,Basick,1DtDwUkdDnGaxSlLPVSpbl,"Yo, yo, this that ish that's funky
누가 대체 욕해? 여기 Show Me The Money
If you tryna get lucky, 넌 잘못 짚었어
좀 비틀댔더니 they forgot who the funkiest
I am, 나지, yes, I'm the hottest
난 니 머리 위, uh, yes, I'm the smartest
이건 직업이 아냐, yes, 나는 artist
I got style, 필요 없어 stylist
어디나 똑같은 생존의 법칙
언제나 패자들은 속보다는 껍질
Yeah, 그들의 변명 따윈 억지
Cuz you know I don't want anything but real
Respect을 받기 위해, yo, I don't stop
I drop killer ish drop bombs, 폭파
군중들아, get rowdy
몸에 집어넣어, 알콜, 카페인, 타우린
Yeah, yeah, yeah
I admit it man, 작년은 부진했네
5억 밖에 못 벌었으니까
And I admit it man, 정말 조용히 지냈네
약속을 못 지켰으니까
'Go Hard', 하지만 올핸 기분이 달라
Show Me The Money 촬영하던 몇주일간 난
얻은 것들이 많네 young rappers hustling and grinding
그들을 보며 큰 에너지 받았네
판정번복, I know we fucked up man
진지한 내 성격, 방송부적격 man
하지만 시간을 되감는다는 게 가능할 리가
부끄럽지만 또 다시 약속을 하네 자신과
Good energy에만 집중하기로
All the good places, good food and good people
Black Nut, Basick, Microdot과 한해
그들을 만났기에 절대 허망하지 않네
Of course I'm in love with the money
하지만 이 길을 택한 건
돈 때문은 아니네, 후회는 없길 기원해
When my last time comes
사람들 물어, 왜 당하기만 하냐고
엄마가 울어, 아들 괜찮냐고
솔직히 상상해 날 물 맥인 놈들
커리어 익사 시켜 먹는 육개장 국물
But I dont wanna hate yall
비판은 액터처럼 배우고 스승 삼았지, my enemies
첨엔 다들 ""랩찌 산이 같이""
이젠 외친다지 ""랩신 산이 같이""
Imma 랩 지저스 성찬식
네가 먹는 빵과 포도준 내 살과 피
우린 번복했지만 실수 반복치 않아
성장했기에 한핸 절대 허망하지 않아
I got respect for Palo 형
Love for 동생 둘 ZICO and MINO
내가 예전에 말했지?
많은 hater 들이 우릴 깎아내릴수록
우린 정교해지는 조각상",173.478,0.969,0.484,-5.187,0.647,0.3904,0.2921
The House (feat. Kim Jin Ho),Basick,0ZyVYK6cIfC6eQ1Hz2Wtz8,"불보다 뜨거웠던 우리 생각 나긴 하는 건지
이젠 앞엔 낭떠러지 할 수 있는 건 오직
두 눈 딱 감고 번지 개나 줘 버렸던 원칙
둘만 있음 다 필요 없었지
이젠 니가 날 필요 없게 됐다
말하지만 나도 괜찮아
You better watch me
틈이 갈라지기 시작한 후 우린 그저 내리막 위 볼링공
날개 없이 추락하다 이별을 말할 때 가지런히 올린 손
서로 다른 방향을 보며 걸었지
무언가에 홀린 듯 내 발이 날 이끈 덴 우리 기억이 고이 놓인 곳
Uh 여기 불씨는 꺼지고 온기조차 없어
숨막힘은 커지고 공기조차 없어
눈 위 니 발자국만을 따라 밟고
그 자리에서만 계속 서성였더니
주변은 새하얀데 여기는 구정물이 됐어
녹은 눈처럼 넌 여기 없어
Yeah 어느새 니 집 앞에 문을 열고 나와
답해 평소처럼 쏘아대며 너답게
한마디도 지지 말고 설명해 줘
도대체 우리가 왜 이렇게 됐는지
왜 니가 우릴 끝냈는지
그때 왜 니 목이 계속 멨는지
해가 뜬 하늘 아래서 서 있어 니 집 앞에서
밤이라 보이지 않았던 길가의 표지판도 오늘 알았어
아직 모르는 게 많아서 보이는 걸 눈에 다 담았어
가장 담고 싶었던 니가 없어서 소리칠 걸 참았어
그제서야 끝이란 걸 알았어",174.646,0.0282,0.0781,-20.448,0.0385,0.4771,0.4571
My Song,Basick,3S0yr3EOoFAtWoURnwDKp8,"Ouch, ouch, ouch, I threw out my back
Ouch, ouch, ouch, it’s a back attack
Got a flight tomorrow to go back home
How am I gonna do it with my back? I don’t know",98.071,0.578,0.786,-8.757,0.723,0.3596,1.0
Double Trouble (feat. Innovator),Basick,4vtXx92CwxoLdAAyVl62gE,"이 도시에 내 목소리를 박어
한 없이 진실된 청춘을 누가 막어
피가 솟구치는 게임
Beats, rhymes, spittin on a stage
I'm tryna break outta cage
이젠 댓가가 뭐든간에
색깔을 찾아나서
Basick on the microphone
Fuck 모든 허세 난 랩퍼 또는 MC
Show me where my boys at
지금 이곳에 남아있는 건
진정한 repsect의
대상들과 몇몇 썩은 벌레
이 까지 끌어준 형님들에겐
Stand and ovate
좆도 안되는 것들이 마셔야 할 고배
드럼이 주는 아드레날린 러쉬
생각하는 모든 것이 곧아 like 여섯시
매일 날 깨우는건 아침에 뜨는 해야
이걸 아무도 모른다면
Who's a true playa
Back on the p’sound track
내 삶의 베스트셀러는 마이크로폰 책
하나둘씩 늘어나 내 삶의 사운드트랙
I be so original 넘치는 나의 스테미너
한 몇십초 쉬기도 싫어해 나 취미로
Rap 해도 꼭 Jiggy로 가야했던 이유
Cuz I'm so dope like
Marijuana high quality rap
I spit so hard Yeh
I spit to fucking rape
본보기로 날 씹던 애들
이제 다들 벌벌 기어 uh
전성기도 맞이하지 않은
내가 조만간 꽃을 피워 uh
꼬마들 지갑 돼지 저금통 다들 비워 uh
내 혓바닥이 나의 power
내 위상은 언제나 우뚝 솟은 남산 tower
Pussy licking bitches keep it secret
I am a murderer 공공의적
난 Public Enemy No.1
Soulscape 컴피티션의 애송이가 컸어
지기를 대표하며 뿜는 rhyme bustin
모든 트랙의 커스텀 flow로
신선하게 서슴없이 새로운 꺼풀을 벗어
어서 친굴 불러
Tell em he's so fuckin awesome
난 머리가 아닌 가슴
So 난 계산보단 이상이란 말씀
겉으로만 탈 쓴 MC's ain't no good
좀 더 진한 먹을 묻혀 너의 붓
독기가 서린 도끼를 가진 Basick
나는 자만심 잃은 토끼 in the turtle race
쉬지 않고 full speed 그리고 esp
Ecially 모든 벌스의 등급이 ""S""니
BAS on the mic the microphone beast
니가 학수고대한 스타일 rhyme 학살 shit
인상 팍 쓰고 또 악쓰다
이 rockstar의 등장에
포기하고 박수만 친 병신 막장 bitch
I said I won't stop
I became Non-stop
Fuckers I'm a rockstar
단어들의 나열은
Double 0, 6 시작이고
I stay ambitious
내 모든 이야기는 Non-fiction
Damn, Fuckers thought
I am noxious
뭐 어쨋던 간에 난
Becoming a veteran
매번 뱉을 때 마다
I am better than I ever been
백만수물 한 단어 뱉는
에너자이저 베터리
Rap 할땐 산소탱크 차는
비트 위 박지성 shit
옛 말에 노력은 쓰고 열매는 달어
하지만 내겐 열매가 쓰고 노력이 달어
내가 하는 일에는
언제나 주의 빛이 따러
내가 되나 안 되나 봐라
철판 깔아 가면 발악
안 떨어도 되는 Rap 뱉어
솔직히 예전에는 Wack
지금은 Two Thumbs Up
Yeh I get better
Centreville, VA
이노베이터의 고향은 Meadow
Man I'm not a ghetto kid
But i keep shootin' POW
Fucker you know what i do
난 랩퍼 MC that's what i do
몇몇은 내게 말했지 난 안 될거라구
But that's what the fuckers
Been missin recognize
That i'm the truth
메달은 없어도 1등만 했지
말은 잘해서 Mic를 잡은 후엔
날라 다녔지 Basick who?
Rhyme이 나의 가오 마법 파워
So i keep rockin em
매번 바뀌는 flow의 낙원
Yo i'm the fuckin MAN
목 금 토 일 월 화 수
매일 하니까 난 뭘 할 수 있을까
고민도 덜 할수 있었지 랩이 되니까
Wanna copy my style?
내가 벌할 수 있어
혼난 뒤 넌 그럼 영원히
여길 떠날 수 있어 쉬워 보이니?
Cuz i make this look so easy man
몇 마디 뱉고 기지개 피는게 일상
뒤지게 열심히 해 get busy man
그래야 이 시스템에 적응할꺼야
나처럼 fucker
Now you know what i do",117.047,0.42,0.592,-6.964,0.446,0.3167,0.1704
